Zone,Region
isole,Regione Sardegna
isole,Regione Sicilia
sud,Regione Calabria
sud,Regione Campania
sud,Regione Puglia
sud,Regione Basilicata
centro,Regione Abruzzo
centro,Regione Lazio
centro,Regione Marche
centro,Regione Molise
centro,Regione Toscana
centro,Regione Umbria
nord.est,Provincia Autonoma di Trento
nord.est,Prov. Auton. Bolzano
nord.est,Regione Friuli Venezia Giulia
nord.est,Regione Veneto
nord.est,Regione Emilia Romagna
nord.ovest,Regione Liguria
nord.ovest,Regione Lombardia
nord.ovest,Regione Valle d'Aosta
nord.ovest,Regione Piemonte
